tick_rec,pc,dpc,pc_req_,dpc_req,m_inst,inst_grp,cname,br_taken
1239327000,68140,4,68140,0,623891,0,addi,0
1239323001,68136,4,68136,0,16318499,2,sb,0
1239319000,68132,4,68132,0,656787,0,addi,0
1239315000,68128,4,68128,0,1555,0,addi,0
1239311001,68124,4,68124,0,280451,1,lbu,0
1239307000,68156,32,68156,0,4283699427,4,bne,1
1239303000,68152,4,68152,0,1640723,0,addi,0
1239298000,68576,424,68576,0,32871,0,jalr,0
1239294000,68584,8,68584,0,4279598307,4,bgeu,1
1239290000,68580,4,68580,0,329491,0,addi,0
1239286000,68488,92,68488,0,80215651,4,bgeu,1
1239282000,68484,4,68484,0,7341971,0,addi,0
1239278000,68480,4,68480,0,101159523,4,bne,0
1239274000,68476,4,68476,0,12912819,0,add,0
1239270000,68472,4,68472,0,7862163,0,andi,0
1239266000,68468,4,68468,0,10864563,0,xor,0
1239261000,67248,1220,67248,0,1279262831,0,jal,0
1239257000,67244,4,67244,0,67174675,0,addi,0
1239253001,67240,4,67240,0,25246083,1,ld,0
1239249001,67236,4,67236,0,33634563,1,ld,0
1239245000,67232,4,67232,0,623891,0,addi,0
1239241000,67228,4,67228,0,591251,0,addi,0
1239237001,67224,4,67224,0,8469123,1,ld,0
1239233001,67220,4,67220,0,16857603,1,ld,0
1239229001,67216,4,67216,0,42022019,1,ld,0
1239225001,67212,4,67212,0,58798211,1,ld,0
1239221001,67208,4,67208,0,50410499,1,ld,0
1239216000,67260,52,67260,0,4242534511,0,jal,0
1239212000,67256,4,67256,0,362771,0,addi,0
1239208000,67252,4,67252,0,493075,0,addi,0
1239204000,66880,372,66880,0,385309283,4,bge,1
1239200000,66876,4,66876,0,59050387,0,addi,0
1239196000,66872,4,66872,0,361619,0,addi,0
1239192000,66868,4,66868,0,66062099,0,addi,0
1239188001,66864,4,66864,0,47527971,2,sd,0
1239184001,66860,4,66860,0,48575523,2,sd,0
1239180000,66856,4,66856,0,13010611,0,add,0
1239176001,66852,4,66852,0,22098979,2,sd,0
1239172001,66848,4,66848,0,21051427,2,sd,0
1239168001,66844,4,66844,0,52506659,2,sd,0
1239164001,66840,4,66840,0,42022947,2,sd,0
1239160001,66836,4,66836,0,34683939,2,sd,0
1239156001,66832,4,66832,0,20003875,2,sd,0
1239152001,66828,4,66828,0,43070499,2,sd,0
1239148000,66824,4,66824,0,30922387,0,srli,0
1239144000,66820,4,66820,0,14026291,0,add,0
1239140000,66816,4,66816,0,4227924243,0,addi,0
1239136000,66812,4,66812,0,14104243,0,sltu,0
1239132000,66808,4,66808,0,14092083,0,add,0